ILCE,MAHALLE,NUFUS_2022,NUFUS_2023
BÜYÜKÇEKMECE,KUMBURGAZ,8506,9502
BÜYÜKÇEKMECE,MURAT ÇESME,20410,19820
BÜYÜKÇEKMECE,MİMAROBA,20089,20118
BÜYÜKÇEKMECE,MİMARSİNAN,9448,9182
BÜYÜKÇEKMECE,PINARTEPE,25626,24960
BÜYÜKÇEKMECE,SİNANOBA,15961,1579
BÜYÜKÇEKMECE,TÜRKOBA,6839,7040
BÜYÜKÇEKMECE,ULUS,8300,8111
BÜYÜKÇEKMECE,YENİMAHALLE,2455,245
BÜYÜKÇEKMECE,ÇAKMAKLI,4379,5695
ESENLER,15 TEMMUZ,24984,33674
ESENLER,ATIŞALANI,34468,33452
ESENLER,BİRLİK,27593,26216
ESENLER,DAVUTPAŞA,27750,26456
ESENLER,FATİH,43345,41515
ESENLER,FEVZİ ÇAKMAK,32306,31081
ESENLER,HAVAALANI,30738,30248
ESENLER,KAZIM KARABEKİR,3548,34092
ESENLER,KEMER,18742,18172
ESENLER,MENDERES,19576,19252
ESENLER,MİMAR SİNAN,13816,13216
ESENLER,NAMIK KEMAL,19308,18788
ESENLER,NİNE HATUN,41727,40028
ESENLER,ORUÇREİS,39531,34657
ESENLER,TUNA,28491,27665
ESENLER,TURGUT REİS,45672,4397
ESENLER,YAVUZ SELİM,3734,3517
ESENLER,ÇİFTE HAVUZLAR,2252,2205
ESENYURT,AKEVLER,12238,11855
ESENYURT,AKÇABURGAZ,25609,25951
ESENYURT,AKŞEMSEDDİN,794,7919
ESENYURT,ARDIÇLI,25329,24196
ESENYURT,ATATÜRK,27249,27105
ESENYURT,AŞIK VEYSEL,30517,31043
ESENYURT,BALIKYOLU,27897,27998
ESENYURT,BARBAROS HAYRETTİN PAŞA,2737,27467
ESENYURT,BATTALGAZİ,18096,18059
ESENYURT,BAĞLARÇEŞME,32878,32580
ESENYURT,CUMHURİYET,14723,1434
ESENYURT,ESENKENT,9077,9134
ESENYURT,FATİH,27642,2741
ESENYURT,GÖKEVLER,13383,15311
ESENYURT,GÜZELYURT,17929,17491
ESENYURT,HÜRRİYET,28515,28368
ESENYURT,KOZA,11489,12189
ESENYURT,MEHMET AKİF ERSOY,25816,25924
ESENYURT,MEHTERÇEŞME,33656,33522
ESENYURT,MERKEZ,31672,31992
ESENYURT,MEVLANA,20705,20600
ESENYURT,NAMIK KEMAL,21373,21328
ESENYURT,NECİP FAZIL KISAKÜREK,20394,20291
ESENYURT,ORHAN GAZİ,16247,1725
ESENYURT,OSMANGAZİ,31875,30991
ESENYURT,PINAR,36926,37015
ESENYURT,PİRİ REİS,16143,15747
ESENYURT,SAADETDERE,15701,15361
ESENYURT,SELAHADDİN EYYUBİ,29314,29545
ESENYURT,SULTANİYE,21343,21429
ESENYURT,SÜLEYMANİYE,34517,34454
ESENYURT,TALATPAŞA,25183,24420
ESENYURT,TURGUT ÖZAL,21048,20683
ESENYURT,YENİKENT,23554,23433
ESENYURT,YEŞİLKENT,36175,35687
ESENYURT,YUNUS EMRE,16589,16771
ESENYURT,ZAFER,18220,17621
ESENYURT,ÇINAR,30688,30551
ESENYURT,ÖRNEK,25296,25321
ESENYURT,ÜÇEVLER,29190,28491
ESENYURT,İNCİRTEPE,28175,27768
ESENYURT,İNÖNÜ,29380,29088
ESENYURT,İSTİKLAL,19522,1899
ESENYURT,ŞEHİTLER,1733,17141
EYÜPSULTAN,5.LEVENT,11927,12079
EYÜPSULTAN,AKPINAR,1123,1130
EYÜPSULTAN,AKŞEMSETTİN,39784,38703
EYÜPSULTAN,ALİBEYKÖY,12821,13062
EYÜPSULTAN,AĞAÇLI,1129,1093
EYÜPSULTAN,DEFTERDAR,2572,5270
EYÜPSULTAN,DÜĞMECİLER,18026,17772
EYÜPSULTAN,EMNİYETTEPE,11072,10787
EYÜPSULTAN,ESENTEPE,26903,26170
EYÜPSULTAN,GÖKTÜRK MERKEZ,37703,38574
EYÜPSULTAN,GÜZELTEPE,30974,30642
EYÜPSULTAN,IŞIKLAR,661,668
EYÜPSULTAN,KARADOLAP,23989,23894
EYÜPSULTAN,MERKEZ,12012,11951
EYÜPSULTAN,MİMAR SİNAN,6274,6622
EYÜPSULTAN,MİTHATPAŞA,819,856
EYÜPSULTAN,NİŞANCI,1563,15581
